"Phi","T","H","min","max","Var"
"phi2","100","Dynamic H: acf/ccf","      -14.496","   45173.163","      2040662.119"
"phi2","300","Dynamic H: acf/ccf","       -6.971","       2.284","            1.948"
"phi2","500","Dynamic H: acf/ccf","       -4.192","       2.530","            1.341"
"phi2","700","Dynamic H: acf/ccf","       -4.175","       2.125","            1.100"
"phi2","900","Dynamic H: acf/ccf","       -3.743","       2.208","            0.961"
"phi2","100","Dynamic H: AIC","-15455418.730","33359592.304","1562740304876.973"
"phi2","300","Dynamic H: AIC"," -8210484.345"," 7377954.317"," 134568094961.574"
"phi2","500","Dynamic H: AIC"," -2541697.555","  520431.243","  14904187741.215"
"phi2","700","Dynamic H: AIC"," -6455834.619","       3.247","  41878428859.158"
"phi2","900","Dynamic H: AIC"," -2106064.286","       3.283","   5670764699.922"
"phi2","100","Dynamic H: HQ","-15455418.730","33359592.304","1590802936031.761"
"phi2","300","Dynamic H: HQ"," -8210484.345"," 7377954.317"," 134587355570.586"
"phi2","500","Dynamic H: HQ"," -2541697.555","  520431.243","  18380165487.483"
"phi2","700","Dynamic H: HQ"," -6455834.619","       3.247","  41878429259.827"
"phi2","900","Dynamic H: HQ"," -2283822.542","       3.283","  10870208974.359"
"phi2","100","Dynamic H: SC","-15455418.730","33359592.304","1591790134808.688"
"phi2","300","Dynamic H: SC"," -8210484.345"," 7377954.317"," 134587355586.295"
"phi2","500","Dynamic H: SC"," -2541697.555","  520431.243","  18380165385.478"
"phi2","700","Dynamic H: SC"," -6455834.619","       3.247","  41878429359.471"
"phi2","900","Dynamic H: SC"," -2283822.542","       3.283","  10870209018.557"
"phi2","100","Static H: 5","      -12.604","       3.499","            4.099"
"phi2","300","Static H: 5","       -6.477","       2.177","            1.935"
"phi2","500","Static H: 5","       -4.381","       2.530","            1.393"
"phi2","700","Static H: 5","       -4.464","       2.116","            1.122"
"phi2","900","Static H: 5","       -3.793","       2.218","            0.956"
"phi2","100","Static H: 10","      -15.582","       3.519","            4.734"
"phi2","300","Static H: 10","       -6.836","       2.230","            1.999"
"phi2","500","Static H: 10","       -4.416","       2.522","            1.415"
"phi2","700","Static H: 10","       -3.676","       2.147","            1.134"
"phi2","900","Static H: 10","       -3.923","       2.197","            1.022"
"phi2","100","Static H: 15","      -60.415","       4.186","            9.037"
"phi2","300","Static H: 15","      -12.481","       2.313","            2.415"
"phi2","500","Static H: 15","       -4.253","       2.157","            1.573"
"phi2","700","Static H: 15","       -4.023","       2.125","            1.222"
"phi2","900","Static H: 15","       -7.300","       2.188","            1.079"
"phi2","100","Static H: 20","-13163466.187","       3.605"," 173689643589.000"
"phi2","300","Static H: 20","      -14.464","       2.424","            2.688"
"phi2","500","Static H: 20","       -5.096","       2.507","            1.677"
"phi2","700","Static H: 20","       -3.774","       2.127","            1.237"
"phi2","900","Static H: 20","       -7.261","       2.157","            1.027"
